time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,average_latency
2021-05-05T20:47:52.000Z,18015,20002,14367,18644,71028,1149.4262558978628,1001.0811418858115,1281.8074754646063,1155.5899485089037,1146.976205439296
2021-05-05T20:47:53.000Z,17514,17215,16495,9715,60939,1089.5202124015075,1081.1449317455708,1297.1362230979084,1201.3194029850747,1167.2801925575154
2021-05-05T20:47:54.000Z,17880,18437,18005,20885,75207,1111.926677852349,1046.3070998535554,1199.2169397389614,1310.8067033756283,1167.0643552051238
2021-05-05T20:47:55.000Z,13477,18263,17738,19691,69169,1217.0999480596572,1035.0970267754476,1123.3618220768972,974.2048143822051,1087.4409028235518
2021-05-05T20:47:56.000Z,18509,18997,18886,18789,75181,1174.2649521854232,1065.5518239722062,1079.9619294715662,975.5022087391559,1073.820228592088
2021-05-05T20:47:57.000Z,18364,19109,17933,14009,69415,1140.8503593988237,975.3090690250667,1118.753359727876,1186.1417660075665,1105.2636385398332
2021-05-05T20:47:58.000Z,19275,21814,17764,15777,74630,1017.0923994811933,980.1161639314201,1122.421076334159,1292.2343918362174,1102.9660078957475
2021-05-05T20:47:59.000Z,16453,14816,16733,15570,63572,1009.3785327903726,983.1426160907127,1138.74995517839,1215.7576750160565,1086.757194768883
2021-05-05T20:48:00.000Z,14549,17623,17051,21094,70317,1295.6946869200633,1283.6456902910968,1199.4915840713154,1025.943111785342,1201.1937682669543
2021-05-05T20:48:01.000Z,15832,18898,20756,18752,74238,1296.3855482566953,1041.1932479627474,1015.4812102524571,992.8621480375426,1086.4805386273606
2021-05-05T20:48:02.000Z,16901,17124,17299,17687,69011,1105.9025501449619,1090.1193646344311,1173.471876987109,991.7839090857692,1090.319425213068
2021-05-05T20:48:03.000Z,20725,19773,16273,18099,74870,1047.227599517491,1143.2261164213826,1142.6422294598415,1085.7862865351676,1104.7205579834708
2021-05-05T20:48:04.000Z,22736,15236,16329,16154,70455,947.1070548909219,1041.2150170648465,1221.2730112070549,1152.5805992323883,1090.543920598803
2021-05-05T20:48:05.000Z,15037,14583,19662,21169,70451,964.2188601449757,1252.8366591236372,1205.1028888210762,1036.8736832160234,1114.7580228264283
2021-05-05T20:48:06.000Z,14969,18434,18310,15269,66982,1286.6258935132607,1176.8573288488662,983.6754778809394,1038.6324579212785,1121.4477895410862
2021-05-05T20:48:07.000Z,19546,16213.000000000002,18434,18329,72522,1093.4479688938914,1095.9997532844013,1144.929315395465,1121.4320475748814,1113.9522712871599
2021-05-05T20:48:08.000Z,17654,17518,19804,17335,72311,974.0587968732299,1169.4318986185638,991.4541001817814,1055.3950966253244,1047.584973074725
2021-05-05T20:48:09.000Z,14967,21592,18421,20640,75620,1215.7517204516603,1006.3859762875139,1092.8490309972315,981.5385658914729,1074.1313234069696
2021-05-05T20:48:10.000Z,17411,19250,16125,21065,73851,1279.5904313365113,943.5429090909091,1159.477457364341,974.1623546166627,1089.1932881021062
