time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,producer-service-6_throughput,producer-service-7_throughput,producer-service-8_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,producer-service-6_latency,producer-service-7_latency,producer-service-8_latency,average_latency
2021-05-05T21:07:05.000Z,22528,24581,21888,26693,21504,22508,21840,24704,186246,59.79305752840909,56.54420080550018,58.28696089181287,54.10163713333083,59.95093936011905,59.542340501155145,55.85297619047619,56.59310233160622,57.583151842801186
2021-05-05T21:07:06.000Z,21504,18299,18432,21376,19072,18964,19376,19328,156351,56.58570498511905,64.82758620689656,62.2265625,58.24087761976048,62.633284395973156,66.07893904239612,63.64430222956234,61.4296875,61.95836805996347
2021-05-05T21:07:07.000Z,13312,11264,12288,14464,11136,13952,9344,12288,98048,68.63018329326923,80.03826349431819,76.12312825520833,77.69116426991151,78.84913793103448,73.08737098623853,92.12671232876713,77.213623046875,77.96994795070279
2021-05-05T21:07:08.000Z,13952,15872,13952,15104,12800,14208,15744,12160,113792,79.33393061926606,75.48765120967742,82.4399369266055,79.01211599576271,85.37578125,87.56024774774775,72.98310467479675,81.50370065789474,80.46205863521885
2021-05-05T21:07:09.000Z,21888,22144,21482,23168,20736,23936,20864,23070,177288,59.251690423976605,55.24440028901734,56.56186574806815,53.63199240331492,59.66671489197531,59.94238803475936,62.310870398773005,59.49289120069354,58.26285167382227
2021-05-05T21:07:10.000Z,23296,19466,21654,20096,23296,18176,23808,21090,170882,59.29326923076923,62.35559436967019,58.29504941350328,61.09414808917197,58.17445054945055,64.32988556338029,55.955855174731184,62.449170222854434,60.243427826691395
2021-05-05T21:07:11.000Z,24704,21366,23680,24576,22016,23424,24576,18432,182774,57.16717940414508,59.305391743892166,56.90401182432432,56.64111328125,63.089071584302324,55.54700307377049,53.656819661458336,68.71799045138889,58.87857262806645
2021-05-05T21:07:12.000Z,21740,21632,22016,22656,23680,25984,24005,22528,184241,57.22769089236431,58.65777551775148,56.77007630813954,57.30371645480226,58.8301097972973,52.45747383004926,57.707769214746925,55.80872691761363,56.84541736659558
2021-05-05T21:07:13.000Z,24468,23424,25216,23424,23277,24064,21051,22528,187452,51.20030243583456,49.27800546448088,50.034739847715734,55.4073599726776,51.704687030115565,53.284865359042556,52.12208446154577,57.82701526988637,52.607382480162386
2021-05-05T21:07:14.000Z,22912,20096,23552,20608,23187,21376,21760,19968,173459,56.3086155726257,60.77373606687898,51.21841032608695,62.16765333850932,53.74947168672101,56.83734094311377,60.59554227941177,60.438651842948715,57.761177757037025
2021-05-05T21:07:15.000Z,22528,22784,24648,21888,22784,25600,22909,25472,188613,66.57328657670455,64.47019838483146,62.52511359948069,65.79477339181287,64.55977879213484,61.3592578125,66.46658518486184,64.35187657035176,64.51260878908475
2021-05-05T21:07:16.000Z,23424,23296,25784,24704,25088,25472,22019,22784,192571,52.88148907103825,56.166294642857146,52.61650636053366,54.794203367875646,52.68020567602041,53.59060929648241,57.063717698351425,55.46449262640449,54.407189842445426
2021-05-05T21:07:17.000Z,24834,20608,25088,24630,23150,22272,22740,23680,187002,54.01715390190867,63.17910520186335,54.2981106505102,57.66370280146163,57.456630669546435,56.38052262931034,58.02462620932278,55.920903716216216,57.11759447251745
2021-05-05T21:07:18.000Z,22654,19456,21760,23498,22290,20224,20908,19072,169862,54.91670345192902,62.85680509868421,56.81953125,58.19899565920504,57.49268730372364,60.23669897151899,62.14544671895925,63.316380033557046,59.497906060947145
2021-05-05T21:07:19.000Z,20065,20195,25728,23808,20480,22144,22308,25216,179944,65.41395464739597,62.515969299331516,52.94064832089552,53.015414986559136,61.236962890625,57.986542630057805,56.578447193831806,57.018044098984774,58.338248008460184
2021-05-05T21:07:20.000Z,24223,23127,24832,23040,21248,24064,23644,23680,187858,51.77368616604054,54.45691183465214,50.91752577319588,51.03203125,56.14697853915663,50.99006815159574,53.87079174420572,50.35625,52.44303043235583
2021-05-05T21:07:21.000Z,19712,21830,22272,17920,20864,23808,20224,21376,168006,65.7518262987013,62.00971140632158,61.225978807471265,70.75558035714286,64.4755559815951,57.99176747311828,61.70282832278481,64.54579902694611,63.557380959260165
