time,producer-service-1_throughput,total_throughput,producer-service-1_latency,average_latency
2021-05-05T19:19:12.000Z,42760,42760,265.60406922357345,265.60406922357345
2021-05-05T19:19:13.000Z,45467,45467,250.70543471088922,250.70543471088922
2021-05-05T19:19:14.000Z,44719,44719,254.0206399964221,254.0206399964221
2021-05-05T19:19:15.000Z,46917,46917,241.44602169789204,241.44602169789204
2021-05-05T19:19:16.000Z,45985,45985,242.11623355441992,242.11623355441992
2021-05-05T19:19:17.000Z,45934,45934,248.5075543170636,248.5075543170636
2021-05-05T19:19:18.000Z,44002,44002,253.39391391300396,253.39391391300396
2021-05-05T19:19:19.000Z,50396,50396,221.63848321295342,221.63848321295342
2021-05-05T19:19:20.000Z,46655,46655,239.43862394169972,239.43862394169972
2021-05-05T19:19:21.000Z,47470,47470,229.50829997893408,229.50829997893408
2021-05-05T19:19:22.000Z,47398,47398,242.52491666315035,242.52491666315035
2021-05-05T19:19:23.000Z,44663,44663,245.41454895551126,245.41454895551126
2021-05-05T19:19:24.000Z,45629,45629,249.7288785640711,249.7288785640711
2021-05-05T19:19:25.000Z,44128,44128,249.78668872371284,249.78668872371284
2021-05-05T19:19:26.000Z,46355,46355,243.65930320353792,243.65930320353792
2021-05-05T19:19:27.000Z,44640,44640,256.24493727598565,256.24493727598565
2021-05-05T19:19:28.000Z,47857,47857,238.55279269490356,238.55279269490356
2021-05-05T19:19:29.000Z,43091,43091,256.5922118307767,256.5922118307767
2021-05-05T19:19:30.000Z,45726,45726,242.37532257359052,242.37532257359052
2021-05-05T19:19:31.000Z,43489,43489,258.98263928809587,258.98263928809587
2021-05-05T19:19:32.000Z,46239,46239,246.36056143082678,246.36056143082678
2021-05-05T19:19:33.000Z,42729,42729,263.52952327459104,263.52952327459104
2021-05-05T19:19:34.000Z,44008,44008,260.69987275040904,260.69987275040904
2021-05-05T19:19:35.000Z,44522,44522,249.1919051255559,249.1919051255559
2021-05-05T19:19:36.000Z,42128,42128,263.4412979491075,263.4412979491075
2021-05-05T19:19:37.000Z,46729,46729,239.34287059427766,239.34287059427766
2021-05-05T19:19:38.000Z,41014,41014,286.795021212269,286.795021212269
2021-05-05T19:19:39.000Z,46984,46984,234.96060360973948,234.96060360973948
2021-05-05T19:19:40.000Z,42130,42130,267.128079753145,267.128079753145
2021-05-05T19:19:41.000Z,46588,46588,241.34036661801323,241.34036661801323
2021-05-05T19:19:42.000Z,47800,47800,234.91809623430962,234.91809623430962
2021-05-05T19:19:43.000Z,43140,43140,256.12994900324526,256.12994900324526
2021-05-05T19:19:44.000Z,46009,46009,255.20763328913907,255.20763328913907
2021-05-05T19:19:45.000Z,47126,47126,235.21478589313756,235.21478589313756
2021-05-05T19:19:46.000Z,48650,48650,237.38250770811922,237.38250770811922
2021-05-05T19:19:47.000Z,51502,51502,209.3211331598773,209.3211331598773
2021-05-05T19:19:48.000Z,50108,50108,218.05206753412628,218.05206753412628
2021-05-05T19:19:49.000Z,51616,51616,208.18379959702418,208.18379959702418
2021-05-05T19:19:50.000Z,51591,51591,262.89360547382296,262.89360547382296
2021-05-05T19:19:51.000Z,48512,48512,282.8882132255937,282.8882132255937
2021-05-05T19:19:52.000Z,50406,50406,268.1473038923938,268.1473038923938
2021-05-05T19:19:53.000Z,47536,47536,281.6554400875126,281.6554400875126
2021-05-05T19:19:54.000Z,47586,47586,294.0836380448031,294.0836380448031
2021-05-05T19:19:55.000Z,48172,48172,290.794569459437,290.794569459437
2021-05-05T19:19:56.000Z,49995,49995,279.1731573157316,279.1731573157316
2021-05-05T19:19:57.000Z,44954,44954,303.1126707300796,303.1126707300796
2021-05-05T19:19:58.000Z,48459,48459,287.19835324707486,287.19835324707486
2021-05-05T19:19:59.000Z,43573,43573,319.04865398297113,319.04865398297113
2021-05-05T19:20:00.000Z,43468,43468,314.22835189104626,314.22835189104626
2021-05-05T19:20:01.000Z,45558,45558,305.9064708722947,305.9064708722947
2021-05-05T19:20:02.000Z,44591,44591,311.97118252562177,311.97118252562177
2021-05-05T19:20:03.000Z,47735,47735,293.60157117419084,293.60157117419084
2021-05-05T19:20:04.000Z,41342,41342,329.4742392724106,329.4742392724106
2021-05-05T19:20:05.000Z,47315,47315,300.41460424812425,300.41460424812425
2021-05-05T19:20:06.000Z,45318,45318,304.1054768524648,304.1054768524648
2021-05-05T19:20:07.000Z,48271,48271,288.94503946468893,288.94503946468893
2021-05-05T19:20:08.000Z,49896,49896,273.07020602853936,273.07020602853936
2021-05-05T19:20:09.000Z,45031,45031,292.76569474362105,292.76569474362105
2021-05-05T19:20:10.000Z,46630,46630,294.68108513832294,294.68108513832294
2021-05-05T19:20:11.000Z,49951,49951,279.4683990310504,279.4683990310504
2021-05-05T19:20:12.000Z,46674,46674,296.01733299053006,296.01733299053006
2021-05-05T19:20:13.000Z,46847,46847,292.91852199713964,292.91852199713964
2021-05-05T19:20:14.000Z,46252,46252,291.9337109746605,291.9337109746605
2021-05-05T19:20:15.000Z,48743,48743,277.06043944771557,277.06043944771557
2021-05-05T19:20:16.000Z,50735,50735,273.4611609342663,273.4611609342663
2021-05-05T19:20:17.000Z,49867,49867,278.31656205506647,278.31656205506647
2021-05-05T19:20:18.000Z,48814,48814,283.7986643176138,283.7986643176138
2021-05-05T19:20:19.000Z,49430,49430,273.93327938498885,273.93327938498885
2021-05-05T19:20:20.000Z,47871,47871,284.65457166133984,284.65457166133984
2021-05-05T19:20:21.000Z,49140,49140,274.45795685795684,274.45795685795684
2021-05-05T19:20:22.000Z,47601,47601,285.25665427196907,285.25665427196907
2021-05-05T19:20:23.000Z,49057,49057,284.0679821432212,284.0679821432212
2021-05-05T19:20:24.000Z,48255,48255,289.8870583359237,289.8870583359237
2021-05-05T19:20:25.000Z,46771,46771,297.5086271407496,297.5086271407496
2021-05-05T19:20:26.000Z,51202,51202,271.47402445216983,271.47402445216983
2021-05-05T19:20:27.000Z,44746,44746,304.72247798685913,304.72247798685913
2021-05-05T19:20:28.000Z,45840,45840,303.4974040139616,303.4974040139616
2021-05-05T19:20:29.000Z,45757,45757,297.4710317547042,297.4710317547042
2021-05-05T19:20:30.000Z,49294,49294,289.12455876983,289.12455876983
