time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,producer-service-6_throughput,producer-service-7_throughput,producer-service-8_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,producer-service-6_latency,producer-service-7_latency,producer-service-8_latency,average_latency
2021-05-05T21:17:34.000Z,6148,9858,10931,7957,9248,7744,10080,9490,71456,1124.0104098893949,1287.9773787786569,1532.0069527033208,2441.21440241297,2187.3102292387543,1281.8207644628098,1406.1050595238096,1863.6836670179136,1640.5161080034536
2021-05-05T21:17:35.000Z,9629,9974,9139,9602,10108,11260,7333,9591,76636,1432.6054626648665,1219.1085823140165,1239.6757850968377,2385.5398875234328,2381.657696873763,1146.7889875666074,1425.8265375698895,1703.8615368574706,1616.8830595583606
2021-05-05T21:17:36.000Z,9718,12516,8321,9867,7211,10816,8848,7176,74473,1101.3419427865815,1105.133748801534,1631.3625766133878,2160.7000101347926,2591.745666343087,997.1744637573964,1654.9693716094032,1732.5420847268674,1621.871233096631
2021-05-05T21:17:37.000Z,8132.999999999999,5857,9583,8831,8495,11494,9967,10019,72379,1239.0013525144473,1332.2871777360424,1516.2006678493165,2017.2830936473786,2719.8496762801647,885.8638420045241,1544.9067924149695,1862.9349236450744,1639.7909407614898
2021-05-05T21:17:38.000Z,11116,10967,11404,8048.999999999999,8857,8862,7343,8414,75012,1060.3588521050738,1542.0272636090087,1352.1404770256052,2172.629270716859,2662.3632155357345,1179.7582938388625,1483.3031458531934,1684.6814832422153,1642.157750240819
2021-05-05T21:17:39.000Z,9509,9104,11194,9601,7693,7638,9211,11011,74961,1050.5455883899463,1230.654767135325,1241.0560121493656,2227.878241849807,2661.8658520733134,1228.927598847866,1543.892628379112,1713.1955317409863,1612.2520275707152
2021-05-05T21:17:40.000Z,9126,8362,8435,9011,9488,9790,9056,8334,71602,1193.5214770984003,1540.8448935661324,1334.6662714878482,2127.5365664188216,2689.5196037099495,1290.641062308478,1584.8172482332157,1541.5305975521958,1662.88471504688
2021-05-05T21:17:41.000Z,9944,11686,7923,8090.999999999999,9982,9564,10173,9653,77016,1088.390687851971,1349.6345199383877,1595.3358576296857,2212.0658756643184,2535.6174113404127,1019.3181723128398,1537.3212425046693,1737.45519527608,1634.3923703147955
2021-05-05T21:17:42.000Z,7479,8002.000000000001,9138,7692,8642,11095,9825,9517,71390,1211.4944511298302,1292.0159960009998,1592.9556795797769,2416.443317732709,2347.377227493636,1106.8530869761153,1271.1131806615776,1698.9410528527897,1617.1492490534295
2021-05-05T21:17:43.000Z,11690,9952,8860,10529,12025,8392,11811,8903,82162,1178.1982035928145,1321.3087821543409,1629.897065462754,2260.6876246557126,2330.07051975052,1113.3845328884652,1413.1454576242486,1593.8052341907223,1605.0621775399472
