time,producer-service-10_throughput,producer-service-11_throughput,producer-service-12_throughput,producer-service-13_throughput,producer-service-14_throughput,producer-service-15_throughput,producer-service-16_throughput,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,producer-service-6_throughput,producer-service-7_throughput,producer-service-8_throughput,producer-service-9_throughput,total_throughput,producer-service-10_latency,producer-service-11_latency,producer-service-12_latency,producer-service-13_latency,producer-service-14_latency,producer-service-15_latency,producer-service-16_latency,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,producer-service-6_latency,producer-service-7_latency,producer-service-8_latency,producer-service-9_latency,average_latency
2021-05-05T22:15:09.000Z,8713,11520,9984,11136,11392,10368,9216,10012,10880,11648,9216,11008,10059,9600,11520,9728,166000,3289.340296109262,2989.301736111111,3018.3984375,3226.4712643678163,3258.715150983146,2984.8343942901233,3376.5721571180557,3140.5950858969236,3193.5793198529414,3102.166981456044,3432.0286458333335,3246.9544876453488,3073.436126851576,3339.9813541666667,3128.911197916667,3077.2329358552633,3179.9074732471427
2021-05-05T22:15:10.000Z,8823,10240,9183,10233,9814,9856,9216,10171,10368,11520,8832,11520,8960,9216,10065,9856,157873,3136.607616456987,3372.06904296875,3034.509746270282,3372.4198182351215,3277.8900550234357,3200.6935876623374,3451.345160590278,3345.216104611149,3367.0297067901233,3041.925173611111,3393.3017436594205,3221.5060763888887,3038.378794642857,3412.9657118055557,3411.682265275708,3149.3065137987014,3264.1779448619195
2021-05-05T22:15:11.000Z,9984,11136,9939,11478,11306,10565,10496,10693,10624,11520,9728,11136,9856,9728,10927,9600,168716,3331.326422275641,3411.5811781609195,3611.973538585371,3631.9227217285243,3670.182734831063,3591.1958353052532,3403.7733422256097,3481.377256148882,3801.960090361446,3802.105989583333,3670.522820723684,3638.382992097701,3556.3867694805194,3507.8600945723683,3647.8791067996704,3700.9763541666666,3591.212952940416
2021-05-05T22:15:12.000Z,8576,11520,9294,9829,10752,9915,9472,9344,10262,11264,8839,10624,9344,9088,10693,9344,158160,3140.074277052239,3513.715017361111,3665.020012911556,3415.2681859802624,3435.8449590773807,3345.4474029248613,3126.4494298986488,3379.5592893835615,3409.1008575326446,3366.4150390625,3294.7327752008146,3517.3111822289156,3181.972816780822,3271.020246478873,3658.2040587300103,3531.2174657534247,3390.709563522352
2021-05-05T22:15:13.000Z,10112,11128,9486,11212,10624,10368,9728,10752,10858,11520,10233,10624,9856,9344,10299,10011,166155,3210.8755933544303,3657.8059849029473,3567.8986928104573,3453.7347484837674,3726.466020331325,3603.9556327160494,3287.6788651315787,3428.7327008928573,3447.367563087125,3830.5011284722223,3379.6512264243133,3827.1953125,3459.6705560064934,3434.319884417808,3666.546849208661,3540.4789731295573,3532.67998324185
2021-05-05T22:15:14.000Z,8996,10248,11506,10880,10112,10752,9984,9984,10624,11264,8906,10240,9856,9355,10240,10547,163494,3355.721209426412,3806.553181108509,3276.038588562489,3503.680238970588,3752.7244857594937,3314.948660714286,3368.2531049679487,3515.6013621794873,3728.504518072289,3527.8919566761365,3426.426117224343,3738.216796875,3253.842938311688,3369.216675574559,3808.9330078125,3405.88935242249,3509.5276371661384
2021-05-05T22:15:15.000Z,10844,11904,10368,11392,11776,12160,11136,11008,11648,12928,10166,12032,11520,10229,11136,11442,181689,3659.454075986721,3787.1129872311826,3853.7675540123455,3529.2213834269664,3725.855808423913,3986.201398026316,3579.58746408046,3795.7880632267443,3544.884271978022,4020.4893254950493,3755.412650009837,3806.7099401595747,3702.455989583333,3654.741030403754,3685.174119971264,3848.190438734487,3745.940406296873
2021-05-05T22:15:16.000Z,11904,13312,11264,12800,11648,12416,11977,12288,11904,11776,10752,11264,12416,12288,11887,11648,191544,3359.5032762096776,3657.564002403846,3782.227627840909,3600.902265625,3653.6622596153848,3854.347293814433,3542.3289638473743,3581.6826985677085,3723.1238239247314,3828.696331521739,3700.7873883928573,3699.237215909091,3579.4491784793813,3439.3202311197915,3864.581223184992,3549.6661229395604,3651.0674939622795
2021-05-05T22:15:17.000Z,9461,9600,9984,8832,9856,9216,8633,9216,9728,10368,8320,9344,9600,8320,9361,9344,149183,3849.2020928020293,3634.4141666666665,3682.2291666666665,4064.1112998188405,3595.049512987013,3648.1236979166665,4060.8906521487315,3837.9089626736113,3557.3994654605262,3845.938946759259,3668.503125,3961.4031464041095,3796.016666666667,3996.1096153846156,3496.9804508065376,3789.271618150685,3780.2220366445395
2021-05-05T22:15:18.000Z,8074.999999999999,9461,7263,8960,7296,8064,8721,9216,8704,8448,8576,8320,8448,7424,7544,7040,131560,4247.836656346749,3427.371102420463,3818.501307999449,3705.694308035714,3884.0132949561403,3791.456473214286,3966.5771127164317,3698.3311631944443,3500.0921415441176,3702.713896780303,3685.9470615671644,3631.8036057692307,3835.2027698863635,4112.266567887931,3810.6341463414633,3863.216193181818,3792.6036126151294
