time,producer-service-1_throughput,producer-service-2_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,average_latency
2021-05-05T19:55:50.000Z,29988,27912,57900,667.4833600106709,435.30166236744054,551.3925111890558
2021-05-05T19:55:51.000Z,33458,30799,64257,539.2468169047761,433.54183577388875,486.39432633933245
2021-05-05T19:55:52.000Z,27018,31629,58647,601.7595676956104,369.1515381453729,485.45555292049164
2021-05-05T19:55:53.000Z,30900,29275,60175,643.1222006472492,417.55627668659264,530.3392386669209
2021-05-05T19:55:54.000Z,28782,27875,56657,587.1729553192968,455.23103139013455,521.2019933547157
2021-05-05T19:55:55.000Z,29847,32170,62017,587.9988273528328,407.5790798880945,497.78895362046364
2021-05-05T19:55:56.000Z,27226,31228,58454,646.9442444721957,404.78452030229283,525.8643823872443
2021-05-05T19:55:57.000Z,31285,29102,60387,595.6844174524532,404.61820493436875,500.15131119341095
2021-05-05T19:55:58.000Z,28932,26317,55249,582.695838517904,479.2445947486416,530.9702166332728
2021-05-05T19:55:59.000Z,26880,29189,56069,686.9729910714286,438.18637157833433,562.5796813248814
2021-05-05T19:56:00.000Z,28213,30266,58479,651.3798249034134,431.1173263728276,541.2485756381204
2021-05-05T19:56:01.000Z,29051,28398,57449,603.1775154039448,439.6834636241989,521.4304895140718
2021-05-05T19:56:02.000Z,25585,33130,58715,671.121438342779,371.1615756112285,521.1415069770037
2021-05-05T19:56:03.000Z,26491,28390,54881,726.5645313502699,435.2568862275449,580.9107087889074
2021-05-05T19:56:04.000Z,32269,23198,55467,580.2055223279308,485.2191137166997,532.7123180223152
2021-05-05T19:56:05.000Z,27947,28190,56137,621.7489891580492,505.28949982263214,563.5192444903407
2021-05-05T19:56:06.000Z,28415,31347,59762,643.1451698046807,408.8510224263885,525.9980961155346
2021-05-05T19:56:07.000Z,29392,27537,56929,613.0518168209037,450.7833097287286,531.9175632748162
2021-05-05T19:56:08.000Z,32017.000000000004,30755,62772,576.1222475559858,412.6113477483336,494.36679765215973
2021-05-05T19:56:09.000Z,34229,29891,64120,555.4501738292091,387.5131644976749,471.481669163442
2021-05-05T19:56:10.000Z,34065,29029,63094,496.775194481139,459.8521478521479,478.3136711666434
2021-05-05T19:56:11.000Z,29118,31298,60416,594.5193694621884,396.24595820819223,495.38266383519033
2021-05-05T19:56:12.000Z,26368,30486,56854,662.1892445388349,419.2580200747884,540.7236323068116
2021-05-05T19:56:13.000Z,31523,26950,58473,600.9722107667418,433.8325788497217,517.4023948082317
2021-05-05T19:56:14.000Z,33493,26391,59884,533.7404532290329,486.157515819787,509.94898452441
2021-05-05T19:56:15.000Z,34309,25388,59697,530.5053775977149,491.92055301717346,511.21296530744416
2021-05-05T19:56:16.000Z,32366,25961,58327,533.9903911512081,497.41277300566236,515.7015820784352
2021-05-05T19:56:17.000Z,30643,28716,59359,622.7945697222857,434.2550494497841,528.524809586035
2021-05-05T19:56:18.000Z,30438,29883,60321,563.9709573559367,435.4034400829903,499.6871987194635
2021-05-05T19:56:19.000Z,33643,31202,64845,553.2595785155902,403.5847061085828,478.4221423120865
2021-05-05T19:56:20.000Z,25807,30472,56279,622.3574224047738,407.1194539249147,514.7384381648443
