time,producer-service-1_throughput,producer-service-2_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,average_latency
2021-05-05T19:39:58.000Z,53248,53248,106496,15.971717247596153,15.42333984375,15.697528545673077
2021-05-05T19:39:59.000Z,48128,49152,97280,18.51496010638298,18.525553385416668,18.52025674589982
2021-05-05T19:40:00.000Z,53176,53248,106424,16.1561042575598,16.403714693509617,16.27990947553471
2021-05-05T19:40:01.000Z,51272,54266,105538,16.194355593696365,15.7794198945933,15.986887744144832
2021-05-05T19:40:02.000Z,52224,51206,103430,16.2978515625,16.29861734952935,16.298234456014676
2021-05-05T19:40:03.000Z,53248,54272,107520,15.84990985576923,15.56751179245283,15.70871082411103
2021-05-05T19:40:04.000Z,53248,53248,106496,16.112755408653847,15.951979417067308,16.032367412860577
2021-05-05T19:40:05.000Z,51200,52224,103424,16.13013671875,16.459482230392158,16.29480947457108
2021-05-05T19:40:06.000Z,54272,54272,108544,15.632757222877359,15.68228552476415,15.657521373820755
2021-05-05T19:40:07.000Z,51200,52864,104064,16.042265625,15.950949606537531,15.996607615768765
2021-05-05T19:40:08.000Z,53248,52608,105856,16.002704326923077,15.906078923357665,15.95439162514037
2021-05-05T19:40:09.000Z,53248,52224,105472,16.066988431490383,16.13851868872549,16.102753560107935
2021-05-05T19:40:10.000Z,53761,53248,107009,15.80297985528543,15.669996995192308,15.73648842523887
2021-05-05T19:40:11.000Z,54101,53248,107349,15.891332877395982,16.110370342548077,16.00085160997203
2021-05-05T19:40:12.000Z,52727,52224,104951,16.15750943539363,15.785730698529411,15.97162006696152
2021-05-05T19:40:13.000Z,53427,53248,106675,15.856009133958485,15.71234600360577,15.784177568782127
2021-05-05T19:40:14.000Z,53248,51200,104448,15.891639122596153,16.13607421875,16.01385667067308
2021-05-05T19:40:15.000Z,53248,54086,107334,15.906400240384615,15.707096106201234,15.806748173292924
2021-05-05T19:40:16.000Z,54272,52410,106682,15.88802697523585,15.847490936844114,15.867758956039982
2021-05-05T19:40:17.000Z,52224,53248,105472,16.300876991421568,15.833233173076923,16.067055082249247
2021-05-05T19:40:18.000Z,53248,51799,105047,15.995887169471153,15.942238267148014,15.969062718309583
2021-05-05T19:40:19.000Z,52224,52649,104873,16.24743412990196,15.78404148226937,16.015737806085667
2021-05-05T19:40:20.000Z,53248,54272,107520,15.786395733173077,16.200803360849058,15.993599547011067
2021-05-05T19:40:21.000Z,53248,53248,106496,15.804837740384615,15.753812349759615,15.779325045072115
2021-05-05T19:40:22.000Z,54272,52224,106496,15.73841022995283,15.67742800245098,15.707919116201905
2021-05-05T19:40:23.000Z,54272,54854,109126,15.698536998820755,15.437452145695847,15.5679945722583
2021-05-05T19:40:24.000Z,53261,54714,107975,15.76575730834945,15.835288957122492,15.800523132735972
2021-05-05T19:40:25.000Z,55283,53248,108531,15.908344337318887,16.11181640625,16.010080371784444
2021-05-05T19:40:26.000Z,53196,52224,105420,15.948943529588691,15.920362285539216,15.934652907563954
2021-05-05T19:40:27.000Z,45108,45056,90164,19.422607963110757,19.718084161931817,19.57034606252129
2021-05-05T19:40:28.000Z,52224,53248,105472,15.812940410539216,15.925386868990385,15.8691636397648
2021-05-05T19:40:29.000Z,53248,52224,105472,16.08899864783654,15.664502910539216,15.876750779187878
2021-05-05T19:40:30.000Z,53248,53248,106496,15.960693359375,15.91015625,15.9354248046875
2021-05-05T19:40:31.000Z,53248,54272,107520,15.646615835336538,15.89029333726415,15.768454586300344
2021-05-05T19:40:32.000Z,52224,53504,105728,15.94921875,15.562182266746412,15.755700508373206
2021-05-05T19:40:33.000Z,25600,25344,50944,35.29546875,35.98480902777778,35.640138888888885
2021-05-05T19:40:34.000Z,28672,28672,57344,34.298793247767854,34.074183872767854,34.186488560267854
2021-05-05T19:40:35.000Z,52224,51968,104192,16.31204044117647,16.512931034482758,16.412485737829613
2021-05-05T19:40:36.000Z,52224,53504,105728,15.912090226715685,15.997103020334928,15.954596623525306
2021-05-05T19:40:37.000Z,53248,52224,105472,15.863450270432692,15.985906862745098,15.924678566588895
2021-05-05T19:40:38.000Z,53248,54272,107520,15.689903846153847,15.700084758254716,15.694994302204282
2021-05-05T19:40:39.000Z,53248,55296,108544,16.07769305889423,15.263762297453704,15.670727678173968
2021-05-05T19:40:40.000Z,52224,52224,104448,16.008808210784313,16.39123774509804,16.200022977941174
2021-05-05T19:40:41.000Z,53248,55296,108544,15.94097430889423,15.462094907407407,15.70153460815082
2021-05-05T19:40:42.000Z,53248,54272,107520,15.80352313701923,15.798920253537736,15.801221695278482
2021-05-05T19:40:43.000Z,53248,53248,106496,16.12049278846154,15.999042217548077,16.059767503004807
2021-05-05T19:40:44.000Z,53248,50176,103424,16.094275841346153,16.334263392857142,16.21426961710165
2021-05-05T19:40:45.000Z,53248,53248,106496,15.771878756009615,16.048170823317307,15.91002478966346
2021-05-05T19:40:46.000Z,53248,54272,107520,15.940786508413462,15.415739239386792,15.678262873900128
2021-05-05T19:40:47.000Z,54272,53248,107520,15.67408608490566,15.759202223557692,15.716644154231677
2021-05-05T19:40:48.000Z,54272,53492,107764,15.80286335495283,15.66228594930083,15.73257465212683
2021-05-05T19:40:49.000Z,54272,54028,108300,16.085182045990567,15.659565410527874,15.87237372825922
2021-05-05T19:40:50.000Z,51200,54272,105472,16.03810546875,15.80455852004717,15.921331994398585
2021-05-05T19:40:51.000Z,52224,52224,104448,16.18575750612745,16.163660386029413,16.174708946078432
2021-05-05T19:40:52.000Z,53248,53248,106496,16.496563251201923,15.82964618389423,16.163104717548077
2021-05-05T19:40:53.000Z,54272,54272,108544,15.853939416273585,16.07897258254717,15.966455999410378
2021-05-05T19:40:54.000Z,52224,53248,105472,16.04203048406863,15.843224158653847,15.942627321361238
2021-05-05T19:40:55.000Z,54272,53248,107520,15.716373083726415,15.860332782451923,15.788352933089168
2021-05-05T19:40:56.000Z,53806,53248,107054,15.784875292718285,15.928147536057692,15.856511414387988
2021-05-05T19:40:57.000Z,52690,53248,105938,16.04835832226229,15.989990234375,16.019174278318644
2021-05-05T19:40:58.000Z,53248,52224,105472,16.031043419471153,15.952952665441176,15.991998042456164
2021-05-05T19:40:59.000Z,53248,54272,107520,16.233060396634617,15.708247346698114,15.970653871666364
2021-05-05T19:41:00.000Z,53248,53042,106290,15.90839092548077,16.161079898948003,16.03473541221439
2021-05-05T19:41:01.000Z,53248,54478,107726,15.836200420673077,15.634274385990675,15.735237403331876
2021-05-05T19:41:02.000Z,54272,52224,106496,16.032834610849058,16.307138480392158,16.16998654562061
2021-05-05T19:41:03.000Z,52224,53735,105959,15.910864736519608,15.949418442356006,15.930141589437806
2021-05-05T19:41:04.000Z,53248,53785,107033,15.843712439903847,15.702370549409686,15.773041494656766
2021-05-05T19:41:05.000Z,47104,51200,98304,16.574855638586957,15.864375,16.219615319293478
2021-05-05T19:41:06.000Z,24576,22528,47104,37.194580078125,39.41663707386363,38.30560857599431
2021-05-05T19:41:07.000Z,32026.000000000004,33792,65818,31.962873914944108,30.617039535984848,31.289956725464478
2021-05-05T19:41:08.000Z,53176,53248,106424,16.309312471791785,16.21551983173077,16.26241615176128
2021-05-05T19:41:09.000Z,53687,52224,105911,16.008307411477638,16.374617034313726,16.19146222289568
2021-05-05T19:41:10.000Z,53623,53248,106871,15.937638699811648,15.79071514423077,15.864176922021208
2021-05-05T19:41:11.000Z,52224,55296,107520,15.879423253676471,15.47412109375,15.676772173713236
2021-05-05T19:41:12.000Z,53248,52379,105627,15.894606370192308,15.927642757593691,15.911124563893
2021-05-05T19:41:13.000Z,52224,52069,104293,15.845932904411764,16.278169352205726,16.062051128308745
2021-05-05T19:41:14.000Z,54272,54272,108544,15.61556603773585,15.657834610849056,15.636700324292452
2021-05-05T19:41:15.000Z,54272,54272,108544,15.721956073113208,15.635779038915095,15.67886755601415
