time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,average_latency
2021-04-20T17:11:10.000Z,42608,41706,39722,40960,38912,203908,46057.61040180248,46055.00829616842,46093.433412214894,46076.311254882814,46068.82820209704,46070.238313433125
2021-04-20T17:11:11.000Z,41360,38905,38912,40960,40960,201097,47240.80176499033,47236.344248811205,47249.41213507401,47237.05463867188,47239.94565429688,47240.71168836886
2021-04-20T17:11:12.000Z,37888,38919,40960,39936,39990,197693,48409.57801942567,48424.554998843756,48413.09826660156,48423.8681640625,48429.22640660165,48420.06517110703
2021-04-20T17:11:13.000Z,39936,39936,41631,37888,39882,199273,49630.70607972756,49655.66003104968,49644.14234584805,49665.86779455237,49616.31239656988,49642.53772954951
2021-04-20T17:11:14.000Z,40960,40960,41313,39936,38912,202081,50919.62551269531,50934.0015625,50957.37988042505,50942.816932091344,50938.46682257401,50938.45814205714
2021-04-20T17:11:15.000Z,40960,41984,39195,36864,41078,200081,52171.61433105469,52198.73006383384,52204.5923459625,52224.60902235243,52188.95683821024,52197.70052028274
2021-04-20T17:11:16.000Z,40629,39936,40677,40960,40842,203044,53414.62000049226,53415.47536057692,53405.50298694594,53427.449438476564,53421.79305616767,53416.96816853187
2021-04-20T17:11:17.000Z,39243,38912,41984,40960,36864,197963,54553.708534006066,54541.71952097039,54562.89719893293,54568.17775878906,54584.477240668406,54562.196050673374
2021-04-20T17:11:18.000Z,40609,39936,41984,39936,40960,203425,55702.11438351104,55719.917643229164,55707.5605706936,55684.9729316907,55735.47412109375,55710.007930043656
2021-04-20T17:11:19.000Z,38504,38006,41984,38504,37888,194886,56930.47304176189,56952.49931589749,56935.20848418445,56932.19722626221,56938.25886824324,56937.72738726986
2021-04-20T17:11:20.000Z,39671,40842,41984,39320,41984,203801,58109.944770739334,58124.33898927575,58108.58562785823,58140.40981688708,58126.49697503811,58121.95523595971
2021-04-20T17:11:21.000Z,38912,41574,40960,40960,40960,203366,59415.50809518914,59402.12779621879,59422.51220703125,59426.06059570312,59413.315600585935,59415.90485894565
2021-04-20T17:11:22.000Z,40960,41677,40960,39936,39936,203469,60729.92282714844,60744.26851740768,60723.468359375,60728.034630408656,60734.907552083336,60732.12037728463
2021-04-20T17:11:23.000Z,39936,41677,39936,40960,41984,204493,61880.078049879805,61890.667514456414,61916.73727964744,61896.85385742188,61891.113519435974,61895.090044168304
2021-04-20T17:11:24.000Z,37025,40960,38912,42028,41671,200596,63071.45056043214,63090.06586914063,63079.85032894737,63070.588250690016,63086.207074464255,63079.63241673488
2021-04-20T17:11:25.000Z,37727,39726,40960,39892,38113,196418,64257.61650807114,64267.11878870261,64240.62897949219,64229.84508172065,64250.95912155957,64249.23369590924
2021-04-20T17:11:26.000Z,40214,39122,40960,38912,36952,196160,65409.11334361168,65397.36166351414,65412.834204101564,65393.34616570724,65423.408421736305,65407.21275973419
2021-04-20T17:11:27.000Z,38634,39936,39936,37116,39302,194924,66482.14425117771,66468.47508513622,66469.24521734775,66476.27785860545,66470.50941427918,66473.33036530926
2021-04-20T17:11:28.000Z,37888,41984,39936,40708,38522,199038,67577.49390308277,67587.28749047256,67572.96737279647,67552.86749533261,67566.83936451898,67571.49112524069
2021-04-20T17:11:29.000Z,40473,39936,42057,37888,40960,201314,68868.98648481704,68879.36145332533,68868.56761062368,68869.92609797297,68884.48115234375,68874.26455981654
2021-04-20T17:11:30.000Z,41919,40122,38839,40960,38912,200752,70161.9486628975,70175.38230895768,70172.64159736347,70152.41259765625,70172.03040193257,70166.8831137615
2021-04-20T17:11:31.000Z,39627,40812,39936,39936,39936,200247,71350.7414136826,71348.80535136725,71338.60897435897,71351.23264723558,71330.7993790064,71344.03755313015
2021-04-20T17:11:32.000Z,41821,41946,40761,40429,40727,205684,72559.61772793572,72563.5435321604,72580.50643997939,72571.44903410917,72568.18975127065,72568.66129709106
2021-04-20T17:11:33.000Z,37888,39537,41159,40467,38187,197238,73634.44415118243,73627.68677441384,73632.71529920552,73621.25905058443,73624.21258543483,73628.06357216422
2021-04-20T17:11:34.000Z,40960,39311,37849,38733,41918,198771,74641.97065429688,74646.41354837069,74687.52194245554,74675.32026953761,74650.93907152058,74660.43309723627
2021-04-20T17:11:35.000Z,39936,42379,42023,41139,40960,206437,75906.36803886217,75889.4290332476,75894.32163339124,75902.23539706848,75921.01337890625,75902.67349629515
2021-04-20T17:11:36.000Z,39034,38521,40960,39936,37888,196339,78589.11507916175,78684.71906232963,78561.63820800782,78603.01885516827,78534.98514041385,78594.69526901627
2021-04-20T17:11:37.000Z,38790,40956,40092,40105,39936,199879,82384.4213714875,82399.75991307745,82378.3531377831,82402.09173419773,82393.28280248397,82391.58179180595
2021-04-20T17:11:38.000Z,39183,40960,40804,40920,40960,202827,83774.24908761453,83791.70983886719,83788.26541515537,83764.99159335288,83778.39379882812,83779.52194676362
2021-04-20T17:11:39.000Z,40689,39888,39936,39807,40960,201280,85228.00329327336,85238.06633574008,85249.59147135417,85256.72251111614,85233.02966308594,85241.08265491393
2021-04-20T17:11:40.000Z,38791,38960,38912,40528,40218,197409,86644.41646258153,86614.1751540041,86629.82928145559,86598.5423657718,86628.99244119549,86623.1911410017
2021-04-20T17:11:41.000Z,38009,41498,43008,40368,38630,201513,87995.11010550133,87972.72538435587,87984.72798084078,88004.91314902893,88000.7205539736,87991.6394347401
2021-04-20T17:11:42.000Z,38912,42470,36864,37888,37888,194022,90015.16182668586,89993.32222745467,89953.61344401042,90038.62436655405,89998.06886085305,89999.7581451116
2021-04-20T17:11:43.000Z,38912,37888,40960,39936,39359,197055,94809.71193976152,94804.1092430321,94776.96518554687,94801.23467548077,94783.23628649102,94795.05146606246
2021-04-20T17:11:44.000Z,38013,37888,39887,38912,39489,194189,96135.74600794465,96147.32437711148,96167.99571288891,96158.2935598273,96140.95254374636,96150.06244030374
2021-04-20T17:11:45.000Z,38787,35840,36913,38508,37888,187936,97402.3234073272,97414.88543526786,97410.01162192182,97401.9256518126,97406.15474556587,97407.06017237906
2021-04-20T17:11:46.000Z,38344,40960,39936,38165,41984,199389,98708.76150114751,98702.70710449219,98683.34780649039,98710.94424210665,98696.30649771342,98700.41343039004
2021-04-20T17:11:47.000Z,41528,40960,40960,38015,39936,201399,100056.6321518012,100070.0369140625,100082.26896972656,100073.49167433908,100096.06172375802,100075.69828673748
2021-04-20T17:11:48.000Z,38912,39936,39936,40898,40479,200161,101552.95340768914,101551.4245292468,101554.15564903847,101552.78463494548,101538.86521406162,101550.03668699629
2021-04-20T17:11:49.000Z,42700,38912,44032,38974,40695,205313,105288.56145199064,105286.49573396382,105264.98934865552,105242.19335967569,105349.12387271163,105286.27275339948
2021-04-20T17:11:50.000Z,39738,38912,39936,36864,40472,195922,108226.85628365797,108222.12137643914,108239.68569711539,108240.80227322048,108226.3322543981,108231.15957696622
2021-04-20T17:11:51.000Z,39418,42331,38912,35840,40511,197012,109577.296133746,109593.74642696841,109567.93310546875,109591.79054129464,109618.42124361284,109589.83749021814
2021-04-20T17:11:52.000Z,35840,36620,38912,38912,38547,188831,111035.65424107143,110997.81496450027,111002.09138569079,111016.7253803454,111016.06597141152,111013.67038860389
